Pattern,#SUP:
go -1 with -1 you -1 no -1 what -1 ,1.0
is -1 this -1 about -1 sarah -1 ,1.0
the -1 men -1 of -1 this -1 fine -1 institution -1 are -1 severely -1 lacking -1 but -1 killing -1 yourself -1 ,1.0
thats -1 never -1 been -1 proven -1 william -1 didnt -1 even -1 go -1 to -1 high -1 school -1 william -1 would -1 never -1 have -1 gone -1 to -1 a -1 state -1 ,1.0
you -1 dont -1 usually -1 ask -1 ,1.0
sleep -1 with -1 a -1 concussion -1 ,1.0
im -1 likin -1 you -1 guys -1 better -1 i -1 prefer -1 to -1 think -1 of -1 it -1 simply -1 as -1 an -1 ,1.0
is -1 one -1 of -1 the -1 richest -1 of -1 the -1 ,1.0
i -1 would -1 really -1 deplore -1 the -1 loss -1 of -1 such -1 a -1 potential -1 ,1.0
dont -1 like -1 to -1 admit -1 that -1 their -1 daughters -1 are -1 ,1.0
here -1 has -1 a -1 major -1 jones -1 for -1 bianca -1 ,1.0
point -1 but -1 she -1 doesnt -1 want -1 to -1 date -1 ,1.0
of -1 you -1 if -1 you -1 dont -1 ,1.0
hi -1 i -1 was -1 in -1 ,1.0
in -1 jail -1 i -1 dont -1 know -1 marilyn -1 manson -1 and -1 ive -1 never -1 slept -1 with -1 a -1 spice -1 girl -1 ,1.0
the -1 men -1 of -1 this -1 fine -1 institution -1 are -1 severely -1 lacking -1 but -1 killing -1 yourself -1 so -1 you -1 can -1 be -1 with -1 william -1 shakespeare -1 is -1 beyond -1 the -1 scope -1 of -1 normal -1 teenage -1 obsessions -1 ,1.0
who -1 the -1 hell -1 would -1 go -1 to -1 this -1 a -1 ,1.0
forest -1 there -1 is -1 enough -1 danger -1 to -1 ,1.0
all -1 set -1 up -1 theories -1 based -1 ,1.0
because -1 of -1 your -1 criminal -1 savagery -1 ,1.0
pick -1 up -1 the -1 tab -1 you -1 do -1 ,1.0
a -1 bright -1 boy -1 a -1 pleasure -1 ,1.0
little -1 busy -1 dont -1 make -1 me -1 do -1 it -1 man -1 gigglepuss -1 is -1 playing -1 there -1 tomorrow -1 ,1.0
how -1 old -1 are -1 you -1 ,1.0
honey -1 tell -1 me -1 we -1 havent -1 ,1.0
a -1 firm -1 believer -1 in -1 doing -1 ,1.0
then -1 it -1 was -1 just -1 like -1 ,1.0
could -1 find -1 one -1 because -1 ,1.0
ill -1 be -1 like -1 wearing -1 ,1.0
youre -1 venturing -1 far -1 past -1 daytime -1 talk -1 show -1 fodder -1 and -1 entering -1 the -1 world -1 of -1 those -1 who -1 ,1.0
brutality -1 you -1 have -1 created -1 ,1.0
the -1 situation -1 is -1 my -1 man -1 cameron -1 here -1 has -1 a -1 major -1 ,1.0
i -1 didnt -1 care -1 about -1 ,1.0
promise -1 them -1 you -1 were -1 not -1 ,1.0
just -1 been -1 going -1 over -1 the -1 whole -1 thing -1 in -1 my -1 head -1 and -1 you -1 told -1 ,1.0
me -1 to -1 therapy -1 forever -1 ,1.0
your -1 majesty -1 some -1 men -1 are -1 content -1 to -1 read -1 about -1 things -1 ,1.0
don -1 sanchez -1 his -1 demands -1 could -1 never -1 be -1 ,1.0
find -1 out -1 what -1 the -1 world -1 is -1 about -1 and -1 then -1 tell -1 me -1 ,1.0
something -1 i -1 should -1 be -1 hip -1 to -1 ,1.0
risk -1 my -1 life -1 to -1 prove -1 it -1 possible -1 ,1.0
so -1 what -1 you -1 need -1 to -1 ,1.0
has -1 this -1 huge -1 raging -1 fit -1 about -1 sarah -1 lawrence -1 and -1 insists -1 that -1 i -1 go -1 to -1 his -1 ,1.0
french -1 get -1 to -1 know -1 her -1 dazzle -1 her -1 with -1 charm -1 and -1 she -1 falls -1 in -1 ,1.0
steinem -1 over -1 there -1 isnt -1 going -1 otherwise -1 known -1 as -1 an -1 ,1.0
and -1 the -1 benefits -1 package -1 is -1 pretty -1 good -1 you -1 werent -1 abused -1 you -1 arent -1 stupid -1 and -1 as -1 far -1 as -1 i -1 can -1 tell -1 youre -1 only -1 slightly -1 psychotic -1 so -1 why -1 is -1 it -1 that -1 ,1.0
you -1 get -1 chapin -1 to -1 look -1 the -1 other -1 way -1 ,1.0
really -1 thought -1 i -1 could -1 make -1 ,1.0
you -1 and -1 that -1 thug -1 are -1 ,1.0
exposed -1 yourself -1 to -1 a -1 group -1 of -1 ,1.0
my -1 veggie -1 burger -1 the -1 only -1 burnt -1 ,1.0
virtue -1 among -1 the -1 nobles -1 a -1 fault -1 for -1 the -1 rest -1 ,1.0
dispute -1 over -1 a -1 point -1 of -1 ,1.0
to -1 swear -1 to -1 anything -1 ,1.0
her -1 away -1 while -1 youre -1 talking -1 ,1.0
are -1 not -1 too -1 disappointed -1 ,1.0
colon -1 an -1 experienced -1 captain -1 such -1 as -1 yourself -1 ,1.0
concern -1 is -1 the -1 welfare -1 and -1 ,1.0
