source,target,value
тихо, работает,0.30000000000000004
 акция, в,0.4
 в, смысле,0.30000000000000004
 смысле, поток,0.2
 поток, частиц,0.2
 частиц, в,0.2
 не, может,2.500000000000001
 может, быть,3.5000000000000018
 быть, смотреть,0.30000000000000004
 смотреть, сюда,0.30000000000000004
 сюда, из-за,0.30000000000000004
 из-за, того,0.4
 того, что,0.5
 что, с,1.8000000000000005
 скорее, всего,0.2
 всего, да,0.1
 да, из-за,0.1
 много, буков,0.1
 цифры, буквы,0.4
 буквы, предложение,0.2
 предложение, в,0.2
 в, потоке,0.2
 буквы, предложения,0.1
 предложения, в,0.1
 мы, закругляемся,0.1
 ремаркетинг, это,0.6
 это, круто,0.7999999999999999
 круто, моя,0.2
 но, просто,0.4
 просто, моя,0.4
 моя, хорошая,0.5
 хорошая, всего,0.5
 не, всегда,0.4
 круто, но,0.30000000000000004
 всего, разговаривать,0.30000000000000004
 разговаривать, не,0.5
 но, в,0.30000000000000004
 в, целом,0.30000000000000004
 всегда, конечно,0.1
 конечно, но,0.1
 время, приключений,0.7
 ты, точно,0.8999999999999999
 точно, знаю,0.7
 знаю, где,1.6000000000000003
 где, это,0.8999999999999999
 это, нормально,0.7
 приключений, .,0.6
 ., ты,0.6
 нормально, а,0.1
 ну, разве,0.1
 разве, я,0.5
 я, могу,1.5000000000000002
 ну, как,0.9999999999999999
 как, это,3.2000000000000015
 это, работает,0.30000000000000004
 работает, я,0.1
 я, хотел,0.6
 хотел, бы,0.7
 ну, я,0.7
 интересно, как,0.2
 бы, интересно,0.1
 бы, приятно,0.1
 бы, немножко,0.1
 наконец-то, проснулись,0.1
 проснулись, чем,0.1
 отлично, ,,0.4
 ,, привет,0.1
 инструкция, по,0.7
 по, общению,0.6
 общению, ,,0.7999999999999999
 ,, по,0.8999999999999999
 по, истечении,0.7
 истечении, часа,0.4
 часа, надеюсь,0.4
 надеюсь, это,0.30000000000000004
 это, поможет,0.30000000000000004
 поможет, нам,0.1
 нам, получить,0.1
 поможет, вам,0.1
 вам, получить,0.1
 секс, и,0.1
 я, засажу,0.1
 засажу, тебе,0.1
 тебе, в,0.30000000000000004
 в, чем,6.199999999999994
 чем, смысл,3.4000000000000017
 сколько, весит,0.5
 весит, килограмм,0.2
 что, делать,2.9000000000000012
 делать, если,1.3
 если, у,0.30000000000000004
 у, тебя,11.099999999999977
 чем, заключается,0.4
 заключается, смысл,0.2
 смысл, слова,0.1
 аллергия, на,0.2
 почему, ксюша,0.2
 ксюша, аллергия,0.1
 почему, артём,0.1
 мне, надо,0.8999999999999999
 надо, потреблять,0.1
 сколько, килокалорий,0.2
 килокалорий, надо,0.1
 надо, употреблять,0.2
 употреблять, для,0.4
 для, снижения,0.30000000000000004
 килокалорий, мне,0.1
 почему, все,0.5
 все, что,4.4
 что, такое,5.699999999999996
 ксюша, такая,0.1
 вот, смотри,0.2
 займись, сексом,0.2
 сексом, с,0.1
 коля, боря,0.1
 боря, купил,0.1
 сколько, мне,1.3
 расскажи, про,1.6000000000000003
 про, звезды,0.1
 звезды, про,0.1
 за, тебя,0.1
 тебя, про,0.5
 я, тебя,18.19999999999999
 россия, про,0.2
 про, тебя,0.30000000000000004
 спартак, и,0.2
 куплю, машину,0.1
 машину, в,0.2
 в, этом,4.000000000000002
 какую, машину,0.2
 машину, надо,0.1
 focus, или,0.1
 я, стесняюсь,0.1
 он, что,0.1
 что, не,2.3000000000000007
 он, ничего,0.1
 ничего, не,7.899999999999988
 я, сегодня,1.9000000000000006
 сегодня, хорошо,0.1
 хорошо, проведу,0.1
 на, сам,0.1
 привет, в,0.2
 приветствуем, гостей,0.30000000000000004
 гостей, в,0.6
 в, центре,1.3
 мы, можем,1.2
 можем, пообщаться,0.1
 что, там,2.1000000000000005
 там, на,0.7999999999999999
 кто, такая,1.3
 это, наши,0.1
 наши, новости,0.1
 новости, с,0.4
 обнаженность, с,0.1
 откровенно, рыжая,0.1
 эта, рыжая,0.1
 это, рыжая,0.1
 что, за,3.900000000000002
 о, чем,3.3000000000000016
 чем, речь,0.2
 речь, писала,0.1
 писала, что,0.1
 а, ты,9.699999999999982
 ты, как,1.7000000000000004
 много, народу,0.1
 каждый, приходит,0.2
 приходит, уже,0.2
 уже, разговаривает,0.2
 разговаривает, потихоньку,0.1
 разговаривает, со,0.1
 непонятные, слова,0.1
 ты, не,17.399999999999977
 не, знаешь,2.2000000000000006
 знаешь, сколько,0.1
 сколько, звезд,0.30000000000000004
 звезд, в,0.30000000000000004
