line,conv,group,name,text,sentiment
L1045,u0,m0,BIANCA,They do not!,negative
L1044,u2,m0,CAMERON,They do to!,neutral
L985,u0,m0,BIANCA,I hope so.,positive
L984,u2,m0,CAMERON,She okay?,positive
L925,u0,m0,BIANCA,Let's go.,neutral
L924,u2,m0,CAMERON,Wow,positive
L872,u0,m0,BIANCA,Okay you're gonna need to learn how to lie.,negative
L871,u2,m0,CAMERON,No,negative
L870,u0,m0,BIANCA,I'm kidding. You know how sometimes you just become this persona? And you don't know how to quit?,negative
L869,u0,m0,BIANCA,Like my fear of wearing pastels?,negative
L868,u2,m0,CAMERON,The real you.,positive
L867,u0,m0,BIANCA,What good stuff?,neutral
L866,u2,m0,CAMERON,I figured you'd get to the good stuff eventually.,positive
L865,u2,m0,CAMERON,Thank God! If I had to hear one more story about your coiffure,positive
L864,u0,m0,BIANCA,Me. This endless blonde babble. I'm like boring myself.,negative
L863,u2,m0,CAMERON,What crap?,negative
L862,u0,m0,BIANCA,do you listen to this crap?,negative
L861,u2,m0,CAMERON,No,negative
L860,u0,m0,BIANCA,Then Guillermo says If you go any lighter you're gonna look like an extra on 90210.,negative
L699,u2,m0,CAMERON,You always been this selfish?,negative
L698,u0,m0,BIANCA,But,negative
L697,u2,m0,CAMERON,Then that's all you had to say.,negative
L696,u0,m0,BIANCA,Well no,negative
L695,u2,m0,CAMERON,You never wanted to go out with 'me did you?,negative
L694,u0,m0,BIANCA,I was?,negative
L693,u2,m0,CAMERON,I looked for you back at the party but you always seemed to be occupied.,negative
L663,u0,m0,BIANCA,Tons,positive
L662,u2,m0,CAMERON,Have fun tonight?,positive
L578,u2,m0,CAMERON,I believe we share an art instructor,positive
L577,u0,m0,BIANCA,You know Chastity?,neutral
L576,u2,m0,CAMERON,Looks like things worked out tonight huh?,positive
L575,u0,m0,BIANCA,Hi.,neutral
L407,u0,m0,BIANCA,Who knows? All I've ever heard her say is that she'd dip before dating a guy that smokes.,neutral
L406,u2,m0,CAMERON,So that's the kind of guy she likes? Pretty ones?,positive
L405,u0,m0,BIANCA,Lesbian? No. I found a picture of Jared Leto in one of her drawers so I'm pretty sure she's not harboring samesex tendencies.,negative
L404,u2,m0,CAMERON,She's not a,negative
L403,u2,m0,CAMERON,I'm workin' on it. But she doesn't seem to be goin' for him.,negative
L402,u0,m0,BIANCA,I really really really wanna go but I can't. Not unless my sister goes.,negative
L401,u2,m0,CAMERON,Sure have.,neutral
L368,u0,m0,BIANCA,Eber's Deep Conditioner every two days. And I never ever use a blowdryer without the diffuser attachment.,positive
L367,u2,m0,CAMERON,How do you get your hair to look like that?,neutral
L366,u0,m0,BIANCA,You're sweet.,positive
L365,u2,m0,CAMERON,You have my word. As a gentleman,positive
L364,u0,m0,BIANCA,I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,negative
L363,u2,m0,CAMERON,You got something on your mind?,negative
L281,u0,m0,BIANCA,Where?,negative
L280,u2,m0,CAMERON,There.,neutral
L277,u2,m0,CAMERON,Well there's someone I think might be,positive
L276,u0,m0,BIANCA,How is our little Find the Wench A Date plan progressing?,neutral
L275,u0,m0,BIANCA,Forget French.,negative
L274,u2,m0,CAMERON,That's because it's such a nice one.,positive
L273,u0,m0,BIANCA,I don't want to know how to say that though. I want to know useful things. Like where the good stores are. How much does champagne cost? Stuff like Chat. I have never in my life had to point out my head to someone.,neutral
L272,u2,m0,CAMERON,Right. See? You're ready for the quiz.,negative
L271,u0,m0,BIANCA,C'esc ma tete. This is my head,negative
L208,u2,m0,CAMERON,Let me see what I can do.,neutral
L207,u0,m0,BIANCA,Gosh if only we could find Kat a boyfriend,positive
L206,u2,m0,CAMERON,That's a shame.,negative
L205,u0,m0,BIANCA,Unsolved mystery. She used to be really popular when she started high school then it was just like she got sick of it or something.,negative
L204,u2,m0,CAMERON,Why?,negative
L203,u2,m0,CAMERON,Seems like she could get a date easy enough,positive
L202,u0,m0,BIANCA,The thing is Cameron I'm at the mercy of a particularly hideous breed of loser. My sister. I can't date until she does.,negative
L201,u2,m0,CAMERON,Cameron.,positive
L200,u0,m0,BIANCA,No no it's my fault we didn't have a proper introduction,negative
L199,u2,m0,CAMERON,Forget it.,negative
L198,u0,m0,BIANCA,You're asking me out. That's so cute. What's your name again?,positive
L197,u2,m0,CAMERON,Okay then how 'bout we try out some French cuisine. Saturday? Night?,neutral
L196,u0,m0,BIANCA,Not the hacking and gagging and spitting part. Please.,negative
L195,u2,m0,CAMERON,Well I thought we'd start with pronunciation if that's okay with you.,negative
L194,u0,m0,BIANCA,Can we make this quick? Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break up on the quad. Again.,negative
L953,u0,m0,BIANCA,I did.,positive
L952,u3,m0,CHASTITY,You think you ' re the only sophomore at the prom?,negative
L660,u3,m0,CHASTITY,I don't have to be home 'til two.,positive
L659,u0,m0,BIANCA,I have to be home in twenty minutes.,negative
L600,u3,m0,CHASTITY,All I know is I'd give up my private line to go out with a guy like Joey.,positive
L599,u0,m0,BIANCA,Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?,neutral
