Id,group,name,Counter,radius
0,11,привет,944,34.0
1,10,привет,895,34.0
2,11,я,352,30.0
3,10,я,345,29.0
4,11,покажи,236,28.0
5,10,1,230,27.0
6,10,как дела,230,27.0
7,11,1,225,27.0
8,11,любовь,193,26.0
9,6,привет,192,26.0
10,11,как дела,192,26.0
11,11,алло,182,26.0
12,4,привет,180,26.0
13,11,люблю,177,26.0
14,10,нет,174,26.0
15,10,люблю,171,26.0
16,10,как,165,26.0
17,5,привет,159,26.0
18,3,привет,154,25.0
19,11,нет,149,25.0
20,10,что,141,24.0
21,10,тебя,132,24.0
22,10,алло,124,24.0
23,11,настя,122,24.0
24,10,любовь,119,24.0
25,10,я люблю,115,24.0
26,11,как,112,24.0
27,11,я люблю,111,24.0
28,11,тебя,111,24.0
29,10,когда,108,24.0
30,10,это,106,24.0
31,11,это,105,24.0
32,11,пока,101,23.0
33,11,аня,99,23.0
34,10,ты,98,23.0
35,11,что,96,23.0
36,10,все,93,22.0
37,11,накажи,92,22.0
38,6,я,89,22.0
39,11,да,88,22.0
40,1,привет,88,22.0
41,11,ку-ку,87,22.0
42,11,ж***,86,22.0
43,7,привет,84,22.0
44,8,привет,83,22.0
45,4,я,83,22.0
46,11,ты,81,22.0
47,6,люблю,79,22.0
48,11,жизнь,78,22.0
49,10,кто,78,22.0
50,11,а,77,22.0
51,10,скажи,74,22.0
52,10,стихи,73,22.0
53,11,и,72,22.0
54,11,мы,72,22.0
55,10,пока,71,22.0
56,10,раз два три,71,22.0
57,11,1 1,71,22.0
58,11,все,71,22.0
59,11,микрофон,70,21.0
60,10,как тебя зовут,70,21.0
61,10,почему,69,21.0
62,10,микрофон,68,21.0
63,11,как тебя зовут,68,21.0
64,10,путин,68,21.0
65,11,я тебя люблю,67,21.0
66,10,я тебя люблю,67,21.0
67,11,я люблю тебя,67,21.0
68,10,дела,66,21.0
69,10,мы,66,21.0
70,11,здравствуйте,66,21.0
71,10,аня,65,21.0
72,3,любовь,64,21.0
73,11,раз два три,63,20.0
74,10,х**,63,20.0
75,11,скажи,63,20.0
76,11,путин,63,20.0
77,10,я люблю тебя,63,20.0
78,10,даша,62,20.0
79,10,2,62,20.0
80,10,здравствуйте,62,20.0
81,6,я люблю,62,20.0
82,10,здравствуй,62,20.0
83,10,а,62,20.0
84,10,я тебя,62,20.0
85,3,я,62,20.0
86,10,не,61,20.0
87,11,саша,61,20.0
88,11,мяу,60,20.0
89,10,оля,60,20.0
90,11,маша,59,20.0
91,11,когда,59,20.0
92,10,мама,58,20.0
93,10,раз два,58,20.0
94,11,почему,58,20.0
95,10,сегодня,58,20.0
96,10,мне,58,20.0
97,11,ха-ха-ха,58,20.0
98,10,кто ты,58,20.0
99,11,катя,57,20.0
100,10,в чем смысл жизни,57,20.0
101,5,я,56,20.0
102,11,зачем,56,20.0
103,10,зовут,56,20.0
104,10,космос,56,20.0
105,10,слова,56,20.0
106,10,меня,56,20.0
107,11,раз два,55,20.0
108,10,1 1,55,20.0
